Interpret;Jahr;Titel;Pack;Youtube-Link;Abspiel-Beginn (in Sekunden)
50 Cent;2003;In Da Club;Basic;https://www.youtube.com/watch?v=H3axP4norfk;0
ABBA;1974;Waterloo;Basic;https://www.youtube.com/watch?v=Sj_9CiNkkn4;0
Ace of Base;1992;All That She Wants;Basic;https://www.youtube.com/watch?v=HGbGmoIPb-o;0
Adele;2011;Set Fire To The Rain;Basic;https://www.youtube.com/watch?v=a2giXO6eyuI;0
Akon;2005;Lonely;Basic;https://www.youtube.com/watch?v=T82tsf-MF00;0
Alessia Cara;2016;Scars To Be Beautiful;Basic;https://www.youtube.com/watch?v=_epVgBDPBOg;0
Alicia Keys;2001;Fallin';Basic;https://www.youtube.com/watch?v=PHUADSzCIBA;5
Alicia Keys;2007;No One;Basic;https://www.youtube.com/watch?v=woS5m96RNzo;10
Alphaville;1984;Forever Young;Basic;https://www.youtube.com/watch?v=W5guhMw_EH0;10
Álvaro Soler;2018;La Cintura;Basic;https://www.youtube.com/watch?v=Eg4LUvUjUWI;38
Amii Stewart;1979;Knock On Wood;Basic;https://www.youtube.com/watch?v=XKuJUxGntRI;25
Amy Winehouse;2006;Rehab;Basic;https://www.youtube.com/watch?v=XOjDJRiUeGE;0
Anastacia;2004;Sick and Tired;Basic;https://www.youtube.com/watch?v=HzfyCuPVpCY;20
Andreas Bourani;2014;Auf uns;Basic;https://www.youtube.com/watch?v=pP6gH3P65nM;0
Annie Lennox;1992;Why;Basic;https://www.youtube.com/watch?v=u8YNwi8S5GM;40
Aqua;1997;Barbie Girl;Basic;https://www.youtube.com/watch?v=rXdT85bMXsE;0
Aretha Franklin;1967;Respect;Basic;https://www.youtube.com/watch?v=6FOUqQt3Kg0;6
Atomic Kitten;2001;Whole Again;Basic;https://www.youtube.com/watch?v=eZRH1x6HtmA;0
Avicii;2017;Without You;Basic;https://www.youtube.com/watch?v=-AJrAem0YyA;12
Betty Everett;1964;It's In His Kiss (The Shoop Shoop Song);Basic;https://www.youtube.com/watch?v=B4KN6TFhy2I;0
Beyoncé (feat. Jay-Z);2003;Crazy In Love;Basic;https://www.youtube.com/watch?v=BVQaQNpkxzg;15
Bill Haley & His Comets;1956;See You Later, Alligator;Basic;https://www.youtube.com/watch?v=jOTY76FVxCU;0
Bill Haley & His Comets;1954;(We're Gonna) Rock Around The Clock;Basic;https://www.youtube.com/watch?v=hzYBEJgKjv0;0
Bill Medley & Jennifer Warnes;1987;(I've Had) The Time Of My Life;Basic;https://www.youtube.com/watch?v=E7DU70UTI3Q;0
Bill Ramsey;1961;Zuckerpuppe (aus der Bauchtanz-Truppe);Basic;https://www.youtube.com/watch?v=JP6m8jP1oXo;0
Billie Eilish;2019;Bad Guy;Basic;https://www.youtube.com/watch?v=4-TbQnONe_w;0
Billy Idol;1982;White Wedding;Basic;https://www.youtube.com/watch?v=x9j6DE6RnSk;26
Billy Joel;1973;Piano Man;Basic;https://www.youtube.com/watch?v=QwVjTlTdIDQ;21
Billy Swan;1974;I Can Help;Basic;https://www.youtube.com/watch?v=bgPsM-YWBrE;19
Black Eyed Peas;2003;Where Is The Love?;Basic;https://www.youtube.com/watch?v=PZj_I0DBtKU;9
Blümchen;1996;Herz an Herz;Basic;https://www.youtube.com/watch?v=2JCelVI6U68;0
Bob Marley & The Wailers;1974;No Woman No Cry;Basic;https://www.youtube.com/watch?v=Pv00rRagnqA;50
Bob Sinclar (feat. Steve Edwards);2006;World, Hold On (Children Of The Sky);Basic;https://www.youtube.com/watch?v=Z9bNzbWlYb0;10
Bon Jovi;2000;It's My Life;Basic;https://www.youtube.com/watch?v=9VSerKr1vBM;0
Bonnie Tyler;1977;It's A Heartache;Basic;https://www.youtube.com/watch?v=zjloI8jfXJM;0
Boston;1976;More Than A Feeling;Basic;https://www.youtube.com/watch?v=DCZNFmHJbV8;15
Brandy (feat. Monica);1998;The Boy Is Mine;Basic;https://www.youtube.com/watch?v=HRxDR-83XBo;45
Britney Spears;2000;Oops!... I Did It Again;Basic;https://www.youtube.com/watch?v=CduA0TULnow;39
Bronski Beat;1984;Smalltown Boy;Basic;https://www.youtube.com/watch?v=E5i2Wa7daDA;44
Bruce Springsteen;1984;Dancing In The Dark;Basic;https://www.youtube.com/watch?v=8cNS_Mecbw8;11
Bryan Adams;1985;Heaven;Basic;https://www.youtube.com/watch?v=s6TtwR2Dbjg;20
Bryan Ferry;1976;Let's Stick Together;Basic;https://www.youtube.com/watch?v=XFy2wN2Wdt0;22
Buddy;2003;Ab in den Süden;Basic;https://www.youtube.com/watch?v=q5WdWSpz1vQ;0
Captain Jack;1995;Captain Jack;Basic;https://www.youtube.com/watch?v=0Bb_w7nOBwg;0
Carly Simon;1972;You're So Vain;Basic;https://www.youtube.com/watch?v=lT7I40wWYAQ;15
Caterina Valente;1954;Ganz Paris träumt von der Liebe;Basic;https://www.youtube.com/watch?v=uhVP418YR_8;0
Caterina Valente & Silvio Francesco;1960;Itsy Bitsy Teenie Weenie Honolulu Strand Bikini;Basic;https://www.youtube.com/watch?v=xxSPQGaGqd0;0
Céline Dion;1997;My Heart Will Go On;Basic;https://www.youtube.com/watch?v=Siz-xBfIqpg;10
Cher;1998;Believe;Basic;https://www.youtube.com/watch?v=n7wvAEDOxAs;15
Chic;1978;Le Freak;Basic;https://www.youtube.com/watch?v=aXgSHL7efKg;0
Chicago;1976;If You Leave Me Right Now;Basic;https://www.youtube.com/watch?v=-9_d-sFhmRM;0
Christina Aguilera;1999;Genie In A Bottle;Basic;https://www.youtube.com/watch?v=k6H5v9iMQhQ;0
Chubby Checker;1960;The Twist;Basic;https://www.youtube.com/watch?v=EVb1r-HTlNs;0
Chuck Berry;1958;Johnny B. Goode;Basic;https://www.youtube.com/watch?v=Uf4rxCB4lys;15
Cliff Richard;1968;Congratualions;Basic;https://www.youtube.com/watch?v=770f-pwPe4o;0
Coldplay;2005;Talk;Basic;https://www.youtube.com/watch?v=D8UfEWttw1M;15
Commoderes;1977;Easy;Basic;https://www.youtube.com/watch?v=7XcTyEKSnYg;10
Connie Francis;1964;Schöner fremder Mann;Basic;https://www.youtube.com/watch?v=X6OUwtI9J5E;0
Coolio (feat. L.V.);1995;Gangsta's Paradise;Basic;https://www.youtube.com/watch?v=Tw0_qHNRAEA;6
Corinne Bailey Rae;2006;Put You Records On;Basic;https://www.youtube.com/watch?v=E-_JcJiUOII;0
Cornelia Froboess;1951;Pack die Badehose ein;Basic;https://www.youtube.com/watch?v=Jq755GRl4E0;44
Creedence Clearwater Revival;1971;Have You Ever Seen the Rain?;Basic;https://www.youtube.com/watch?v=bO28lB1uwp4;10
Cro;2012;Einmal um die Welt;Basic;https://www.youtube.com/watch?v=vG8-WbaguMI;0
Crowded House;1986;Don't Dream It's Over;Basic;https://www.youtube.com/watch?v=-5QA0Y3Yjlc;10
Culture Beat;1993;Mr. Vain;Basic;https://www.youtube.com/watch?v=V3qUoiwr5kQ;25
Culture Club;1983;Karma Chameleon;Basic;https://www.youtube.com/watch?v=h5WA79F4UCs;0
Cyndi Lauper;1986;True Colors;Basic;https://www.youtube.com/watch?v=LPn0KFlbqX8;20
Daft Punk;2000;One More Time;Basic;https://www.youtube.com/watch?v=A2VpR8HahKc;20
Danny & The Junors;1957;At The Hop;Basic;https://www.youtube.com/watch?v=SEPvoNA1OGw;0
Daryl Hall & John Oates;1982;Maneater;Basic;https://www.youtube.com/watch?v=oqy2N1jM2tU;41
David Bowie;1969;Space Oddity;Basic;https://www.youtube.com/watch?v=tRNpjt29n6Y;29
Dean Martin;1953;That's Amore;Basic;https://www.youtube.com/watch?v=OnFlx2Lnr9Q;0
Diana Ross;1980;Upside Down;Basic;https://www.youtube.com/watch?v=5zyidkj2fpo;0
Die Ärzte;1988;Westerland;Basic;https://www.youtube.com/watch?v=tIFFfP87Ooc;19
Die Ärzte;2007;Junge;Basic;https://www.youtube.com/watch?v=gEJVuMPpJFA;22
Die Doofen;1995;Mief! (Nimm mich jetzt, auch wenn ich stinke);Basic;https://www.youtube.com/watch?v=yMPCN2hGXvo;0
Die Firma;1998;Die Eine;Basic;https://www.youtube.com/watch?v=qwHVE9UjAy0;0
Die Prinizen;1993;Alles nur geklaut;Basic;https://www.youtube.com/watch?v=s5CK8cEg3ms;0
Die Toten Hosen;2012;Tage wie diese;Basic;https://www.youtube.com/watch?v=j09hpp3AxIE;0
Dion;1961;The Wanderer;Basic;https://www.youtube.com/watch?v=SbYa7NBYyRc;0
Dire Straits;1985;Walk Of Life;Basic;https://www.youtube.com/watch?v=h2a20YL5mvg;56
Dolly Parton;1973;Jolene;Basic;https://www.youtube.com/watch?v=Ixrje2rXLMA;0
Dr. Alban;1993;Sing Hallelujah!;Basic;https://www.youtube.com/watch?v=pKxJca7LLNM;0
Drafi Deutscher;1965;Marmor, Stein und Eisen bricht;Basic;https://www.youtube.com/watch?v=gc0HPw7g1Bo;0
Drake;2020;Toosie Slide;Basic;https://www.youtube.com/watch?v=x7IBEq9iOkc;8
Dschinghis Khan;1979;Moskau;Basic;https://www.youtube.com/watch?v=IZRGKv2uk2o;0
Dua Lipa;2020;Break My Heart;Basic;https://www.youtube.com/watch?v=jgh8owCuX78;0
Duck Sauce;2010;Barbara Streisand;Basic;https://www.youtube.com/watch?v=WK4HHaNhcgU;44
Duffy;2008;Mercy;Basic;https://www.youtube.com/watch?v=rOu4wwI0xF8;0
Eagle-Eye Cherry;1997;Save Tonight;Basic;https://www.youtube.com/watch?v=Hc4JvgmFp5Y;13
Echt;1999;Du trägst keine Liebe in dir;Basic;https://www.youtube.com/watch?v=7fUpaXxPgMI;0
Eddy Grant;1988;Gimme Hope Jo'anna;Basic;https://www.youtube.com/watch?v=R-ZplG81oZg;10
Elton John;1970;Your Song;Basic;https://www.youtube.com/watch?v=FT3D1Cu6g10;0
Elvis Presley;1957;Jailhouse Rock;Basic;https://www.youtube.com/watch?v=A99sV18J0mk;0
Elvis Presley;1961;Can't Help Falling In Love;Basic;https://www.youtube.com/watch?v=_f917QSZq50;0
Emma Franklin;1967;Piece Of My Heart;Basic;https://www.youtube.com/watch?v=L0QAxIKf8G4;21
Enrico Caruso;1908;La Donna È Mobile (Rigoletto);Basic;https://www.youtube.com/watch?v=SrQV5x1sczs;0
Enriique Iglesias & Whitney Houston;2000;Could I Have This Kiss Forever;Basic;https://www.youtube.com/watch?v=fLikA-aTuAY;15
Enrique Iglesias;2007;Do You Know? (The Ping Pong Song);Basic;https://www.youtube.com/watch?v=BcFPWHRXHHU;0
Enya;1988;Orinoco Flow;Basic;https://www.youtube.com/watch?v=xWyw5VBZzrI;15
Eric Carmen;1987;Hungry Eyes;Basic;https://www.youtube.com/watch?v=x653F7beSpY;20
Eric Prydz;2004;Call On Me;Basic;https://www.youtube.com/watch?v=-6hpGaTkP0A;0
Eros Ramazzotti;1996;Più Bella Cosa;Basic;https://www.youtube.com/watch?v=yELzcAnV5aM;17
Eurythmics;1983;Sweet Dreams (Are Made Of This);Basic;https://www.youtube.com/watch?v=qeMFqkcPYcg;0
Fatboy Slim;1999;Praise You;Basic;https://www.youtube.com/watch?v=iPo7y_8AocI;10
Fats Domino;1955;Ain't That A Shame;Basic;https://www.youtube.com/watch?v=50OF4x1lIbg;0
Fettes Brot;2005;Emanuela;Basic;https://www.youtube.com/watch?v=qURXrPdx9WQ;0
Fine Young Cannibals;1988;She Drives Me Crazy;Basic;https://www.youtube.com/watch?v=wyrmfuIxS98;20
Fleetwood Mac;1987;Everywhere;Basic;https://www.youtube.com/watch?v=TpgCWuAYPjU;30
Frankie Valli & The Four Seasons;1975;December, 1963 (Oh, What A Night);Basic;https://www.youtube.com/watch?v=fhc13WNMNpg;10
Freddy Quinn;1956;Heimweh (Dort wo die Blumen blüh'n);Basic;https://www.youtube.com/watch?v=CNwsXRsvVWE;0
Freddy Quinn;1959;Die Gitarre und das Meer;Basic;https://www.youtube.com/watch?v=3y57Xi5crxA;0
Fugees;1996;Killing Me Softly With His Song;Basic;https://www.youtube.com/watch?v=H-RBJNqdnoM;0
Genesis;1991;No Son of Mine;Basic;https://www.youtube.com/watch?v=KZbHcAPsllE;27
George Harrison;1987;Got My Mind Set On You;Basic;https://www.youtube.com/watch?v=ycNxDe88iEY;0
George Michael & Aretha Franklin;1987;I Knew You Were Waiting (For Me);Basic;https://www.youtube.com/watch?v=fDxzQJaA228;30
Gipsy Kings;1989;Volare (Nel Blue Di Pinto Di Blu);Basic;https://www.youtube.com/watch?v=zY8VXynNCPs;0
Gitte Haenning;1963;Ich will 'nen Cowboy als Mann;Basic;https://www.youtube.com/watch?v=zOcyefACvws;0
Glenn Miller;1939;In The Mood;Basic;https://www.youtube.com/watch?v=7vMTZBVBkPU;0
Gotye (feat. Kimbra);2011;Somebody That I Used To Know;Basic;https://www.youtube.com/watch?v=8UVNT4wvIGY;0
Guns N' Roses;1988;Sweet Child O' Mine;Basic;https://www.youtube.com/watch?v=D2gWc5Sw75w;40
Haddaway;1993;What Is Love;Basic;https://www.youtube.com/watch?v=G8RY_XOqJf4;6
Harry Belafonte;1956;Day-0 (The Banana Boat Song);Basic;https://www.youtube.com/watch?v=lZABxj718uA;4
Harry Styles;2019;Adore You;Basic;https://www.youtube.com/watch?v=iquhBgM-Qv0;10
Heintje;1968;Mama;Basic;https://www.youtube.com/watch?v=5YA6kjrvpRQ;0
Helene Fischer;2013;Atemlos durch die Nacht;Basic;https://www.youtube.com/watch?v=M5X_D_b-iTY;0
Herbert Grönemeyer;1984;Männer;Basic;https://www.youtube.com/watch?v=jSPbWaT-XmA;0
House of Pain;1992;Jump Around;Basic;https://www.youtube.com/watch?v=W4o6XBJ_J-k;7
Ich + Ich;2007;Vom selben Stern;Basic;https://www.youtube.com/watch?v=2uugJeWljx8;8
Icona Pop (feat. Charli XCX);2012;I Love It;Basic;https://www.youtube.com/watch?v=W50HtcPAeSs;0
Imagine Dragons;2017;Thunder;Basic;https://www.youtube.com/watch?v=4AqjqOqNrjw;0
James Brown & The Famous Flames;1965;I Got You (I Feel Good);Basic;https://www.youtube.com/watch?v=b5DfwGAej-k;0
Jason Derulo;2009;Whatcha Say;Basic;https://www.youtube.com/watch?v=pBI3lc18k8Q;0
Jay-Z & Linkin Park;2004;Numb/Encore;Basic;https://www.youtube.com/watch?v=_1oO4wzPCmE;0
Jennifer Lopez;1999;If You Had My Love;Basic;https://www.youtube.com/watch?v=tT5g7I-Itc8;19
Jessie J (feat. B.O.B);2011;Price Tag;Basic;https://www.youtube.com/watch?v=qMxX-QOV9tI;18
Jimmy Cliff;1970;You Can Get It If You Really Want;Basic;https://www.youtube.com/watch?v=IYSkDbOik9s;0
John Legend;2013;All Of Me;Basic;https://www.youtube.com/watch?v=ngq5Aw0Q6rQ;0
Johnny Cash;1963;Ring Of Fire;Basic;https://www.youtube.com/watch?v=1WaV2x8GXj0;9
Joseíto Fernández;1929;Guajira Guantanamera;Basic;https://www.youtube.com/watch?v=gdYIpvnzoW8;24
Journey;1981;Don't Stop Believin';Basic;https://www.youtube.com/watch?v=1k8craCGpgs;15
Jürgen Drews;1976;Ein Bett im Kernfeld;Basic;https://www.youtube.com/watch?v=-IcBlAzTr7Y;0
Jürgen Marcus;1972;Eine neue Liebe ist wie ein neues Leben;Basic;https://www.youtube.com/watch?v=zmLqYi9fe3U;0
Justin Bieber;2021;Anyone;Basic;https://www.youtube.com/watch?v=KIK3azN4w34;12
Kanye West (feat. Jamie Foxx);2005;Gold Digger;Basic;https://www.youtube.com/watch?v=LFFcyWGWz14;15
Kaoma;1989;Lambada;Basic;https://www.youtube.com/watch?v=ooxAZfr-woI;30
Karat;1978;Über sieben Brücken musst du gehen;Basic;https://www.youtube.com/watch?v=eKwl5HclBeQ;10
Katy Perry;2010;Firework;Basic;https://www.youtube.com/watch?v=KLc5qNAzLaM;0
KC And The Sunshine Band;1982;Give It Up;Basic;https://www.youtube.com/watch?v=GWqshuTyqjA;38
Kelly Clarkson;2005;Because Of You;Basic;https://www.youtube.com/watch?v=9SAh14Kt4n8;14
Kim Carnes;1981;Bette Davis Eyes;Basic;https://www.youtube.com/watch?v=AlZEdyo6uwY;0
Klaus Lage;1984;1000 und 1 Nacht (Zoom!);Basic;https://www.youtube.com/watch?v=Ug3HFmW8AVA;0
Kool & The Gang;1980;Celebration;Basic;https://www.youtube.com/watch?v=1Qu6Dyn-c6M;8
Kraftwerk;1974;Autobahn;Basic;https://www.youtube.com/watch?v=iukUMRlaBBE;65
Lady Gaga;2008;Poker Face;Basic;https://www.youtube.com/watch?v=BvJSig2WhnY;0
Lady Gaga & Bradley Cooper;2018;Shallow;Basic;https://www.youtube.com/watch?v=BpIf43m2ZQI;14
Las Ketchup;2002;The Ketchup Song (Aserejé);Basic;https://www.youtube.com/watch?v=hLeUL4i9PNw;0
Led Zepplin;1969;Whole Lotta Love;Basic;https://www.youtube.com/watch?v=HibBnC6SVk8;10
Lenny Kravitz;1998;Fly Away;Basic;https://www.youtube.com/watch?v=cELBtOexOOo;24
Leo Sayer;1977;When I Need You;Basic;https://www.youtube.com/watch?v=koc_LF856jc;22
Lewis Capaldi;2018;Someone You Loved;Basic;https://www.youtube.com/watch?v=AyCrypt1pdI;0
Limahl;1984;Never Ending Story;Basic;https://www.youtube.com/watch?v=RxJuIlbT740;70
Linda Ronstadt;1977;Blue Bayou;Basic;https://www.youtube.com/watch?v=_qqvdOwoN-Y;0
Lionel Richie;1986;Dancing On The Ceiling;Basic;https://www.youtube.com/watch?v=4KlLfYADaVE;30
Little Eva;1962;The Loco-Motion;Basic;https://www.youtube.com/watch?v=24Neyv2crh4;0
Little Richard;1958;Good Golly, Miss Molly;Basic;https://www.youtube.com/watch?v=lQ6akiGRcL8;0
Loreen;2012;Euphoria;Basic;https://www.youtube.com/watch?v=t5qURKt4maw;10
Lukas Graham;2015;7 Years;Basic;https://www.youtube.com/watch?v=kqFLQG484pg;15
Lynyrd Skynyrd;1974;Sweet Home Alabama;Basic;https://www.youtube.com/watch?v=-35W_FWCT9Q;3
Mabel;2019;Don't Call Me Up;Basic;https://www.youtube.com/watch?v=V35iQO30Xys;0
Macklemore & Ryan Lewis (feat. Ray Dalton;2011;Can't Hold Us;Basic;https://www.youtube.com/watch?v=VG3JsmOmDqw;0
Mad'House;2002;Like A Prayer;Basic;https://www.youtube.com/watch?v=fYaAolJw21w;0
Madonna (feat. Justin Timberlake & Timbaland);2008;4 Minutes;Basic;https://www.youtube.com/watch?v=BgPqNyqYDN4;15
Major Lazer, DJ Snake & Mø;2015;Lean On;Basic;https://www.youtube.com/watch?v=NEjF9np9_NU;0
Mannfred Mann;1964;Do Wah Diddy Diddy;Basic;https://www.youtube.com/watch?v=1UingsUi0mI;0
Manuela;1963;Schuld war nur der Bossa Nova;Basic;https://www.youtube.com/watch?v=Gnmq27MCkFY;0
Mark Forster feat. Lea;2021;Drei Uhr Nachts;Basic;https://www.youtube.com/watch?v=fDSOhYhORiw;0
Mark Morrison;1996;Return Of The Mack;Basic;https://www.youtube.com/watch?v=1ZfjB5P7RS0;10
Mark Ronson (feat. Amy Winehouse);2007;Valerie;Basic;https://www.youtube.com/watch?v=zC2SZOY80Dk;0
Markus;1982;Ich will Spaß;Basic;https://www.youtube.com/watch?v=1Ss0wzeoqHU;5
Maroon 5 (feat. Christina Aguilera);2011;Moves Like Jagger;Basic;https://www.youtube.com/watch?v=Q-jqcZ_Jbd8;5
Marvin Gaye;1968;I Heard It Through The Grapevine;Basic;https://www.youtube.com/watch?v=VWG3npfEoHo;19
Matthias Reim;1990;Verdammt, ich lieb' dich;Basic;https://www.youtube.com/watch?v=fKV_Ma9T5N8;9
Max Giesinger ;2016;80 Millionen;Basic;https://www.youtube.com/watch?v=OuAGkCAlblc;0
Meat Loaf;1978;Paradise By The Dashboard Light;Basic;https://www.youtube.com/watch?v=a136H5K3OKw;0
Meghan Trainor;2014;All About That Bass;Basic;https://www.youtube.com/watch?v=QgmzAu7_wyc;0
Michael Holm;1974;Tränen lügen nicht;Basic;https://www.youtube.com/watch?v=7grORBI4fJ8;13
Mika;2007;Relax, Take It Easy;Basic;https://www.youtube.com/watch?v=EVDYmBrl02Q;10
Mike & The Mechanics;1988;The Living Years;Basic;https://www.youtube.com/watch?v=IW8mcLiIsI8;25
Miley Cyrus;2013;Wrecking Ball;Basic;https://www.youtube.com/watch?v=My2FRPA3Gf8;0
Modjo;2000;Lady (Hear Me Tonight);Basic;https://www.youtube.com/watch?v=oPTtFbB5NvU;45
Mungo Jerry;1970;In The Summertime;Basic;https://www.youtube.com/watch?v=wvUQcnfwUUM;3
Nancy Sinatra;1965;These Boots Are Made For Walkin';Basic;https://www.youtube.com/watch?v=TDmidrIDB4o;11
Natalie Imbruglia;1997;Torn;Basic;https://www.youtube.com/watch?v=UOJkzcJigGI;13
Neil Diamond;1969;Sweet Caroline;Basic;https://www.youtube.com/watch?v=4F_RCWVoL4s;10
Nelly (feat. Kelly Rowland);2002;Dilemma;Basic;https://www.youtube.com/watch?v=8WYHDfJDPDc;23
Nena;1983;99 Luftballons;Basic;https://www.youtube.com/watch?v=TMSlTQmDLx4;0
New Radicals;1998;You Get What You Give;Basic;https://www.youtube.com/watch?v=cPAEFnVZVOs;30
Nickelback;2001;How You Remind Me;Basic;https://www.youtube.com/watch?v=hhSLkkLl750;0
Nirvana;1991;Smells Like Teen Spirit;Basic;https://www.youtube.com/watch?v=hTWKbfoikeg;0
No Doubt;1996;Don't Speak;Basic;https://www.youtube.com/watch?v=EQePYyin4vQ;0
Oasis;1995;Wonderwall;Basic;https://www.youtube.com/watch?v=PoJh4JNedns;0
Olivia Rodrigo;2021;Drivers License;Basic;https://www.youtube.com/watch?v=tNJhkrpLGT8;0
OneRepublic;2013;Counting Stars;Basic;https://www.youtube.com/watch?v=mgT0N3tMP74;0
Outcast;2003;Hey Ya!;Basic;https://www.youtube.com/watch?v=-7XnDlYY9qw;0
Owl City;2009;Fireflies;Basic;https://www.youtube.com/watch?v=qSsAEZa_fb0;10
O-Zone;2003;Dragostea Din Tei;Basic;https://www.youtube.com/watch?v=gE-h0xsRY4M;0
P!nk (feat. Nate Reuss);2013;Just Give Me A Reason;Basic;https://www.youtube.com/watch?v=OpQFFLBMEPI;0
Patrick Hernandez;1978;Born To Be Alive;Basic;https://www.youtube.com/watch?v=vb5a-GYty-o;14
Paul Simon;1986;You Can Call Me Al;Basic;https://www.youtube.com/watch?v=KHxeM1hQOSc;0
Percy Sledge;1966;When A Man Loves A Woman;Basic;https://www.youtube.com/watch?v=tbWDkg4T3G4;10
Peter Fox;2008;Haus am See;Basic;https://www.youtube.com/watch?v=j-XKgB5guDQ;9
Peter Kraus;1958;Sugar Baby;Basic;https://www.youtube.com/watch?v=-9R3_53qe08;0
Peter Schilling;1982;Major Tom (völlig losgelöst);Basic;https://www.youtube.com/watch?v=vr_UK0tSb8M;35
Pharell Williams;2013;Happy;Basic;https://www.youtube.com/watch?v=jffGXR7vNdk;0
Plastic Bertrand;1977;Ça Plane Pour Moi;Basic;https://www.youtube.com/watch?v=OvgagTxWqAE;15
Portugal. The Man;2017;Feel It Still;Basic;https://www.youtube.com/watch?v=e-2aoz_Um10;0
Post Malone;2019;Circles;Basic;https://www.youtube.com/watch?v=WnLIGgTaBM0;15
Prince;1984;Purple Rain;Basic;https://www.youtube.com/watch?v=TvnYmWpD_T8;85
Pur;1995;Abenteuerland;Basic;https://www.youtube.com/watch?v=XC-HspEa2vs;10
Queen (feat. David Bowie);1981;Under Pressure;Basic;https://www.youtube.com/watch?v=a01QQZyl-_I;25
R.E.M.;1992;Everybody Hurts;Basic;https://www.youtube.com/watch?v=mhIay4-PbCY;15
Rammstein;1997;Engel;Basic;https://www.youtube.com/watch?v=hNwMfgHcz5k;0
Red Hot Chili Peppers;1992;Under The Bridge;Basic;https://www.youtube.com/watch?v=O9TunCtR3dQ;28
Rednex;1994;Cotton Eye Joe;Basic;https://www.youtube.com/watch?v=fYnJZh5ZHIA;0
Reel 2 Real (feat. The Mad Stuntman);1993;I Like To Move It;Basic;https://www.youtube.com/watch?v=vuo8kD5zF5I;0
Reinhard Mey;1974;Über den Wolken;Basic;https://www.youtube.com/watch?v=fZMFF8QH3ew;12
Richard Marx;1989;Right Here Waiting;Basic;https://www.youtube.com/watch?v=Jrc21w_zFc4;44
Rick James;1981;Super Freak;Basic;https://www.youtube.com/watch?v=XESxsUl6hGU;0
Rio Reiser;1986;König von Deutschland;Basic;https://www.youtube.com/watch?v=I6oKCW6imjM;14
Ritchie Valens;1958;La Bamba;Basic;https://www.youtube.com/watch?v=Coy8Hoa1DNw;0
Robbie Williams;2002;Feel;Basic;https://www.youtube.com/watch?v=eK_tpyqtnsg;0
Robin Thicke, T.I. & Pharrell;2013;Blurred Lines;Basic;https://www.youtube.com/watch?v=yyDUC1LUXSU;1
Roxette;1991;Joyride;Basic;https://www.youtube.com/watch?v=BBrZTL2uuNs;3
Roy Orbison;1964;Oh, Pretty Woman;Basic;https://www.youtube.com/watch?v=3KFvoDDs0XM;0
Rudi Carell;1975;Wann wird's mal wieder richtig Sommer?;Basic;https://www.youtube.com/watch?v=cH3tuAAHpNI;17
Rufus (feat. Chaka Khan);1983;Ain't Nobody;Basic;https://www.youtube.com/watch?v=BNirQXe8HOA;17
Rupert Holmes;1979;Escape (The Piña Colada Song);Basic;https://www.youtube.com/watch?v=FXG_I_tf_i4;0
Sam Cooke;1960;(What A) Wonderful World;Basic;https://www.youtube.com/watch?v=R4GLAKEjU4w;0
Sam The Sham & The Pharaohs;1965;Wolly Bully;Basic;https://www.youtube.com/watch?v=KZJiGu6Gz8E;0
Scorpions;1991;Wind of Change;Basic;https://www.youtube.com/watch?v=n4RjJKxsamQ;10
SDP;2012;Die Nacht von Freitag auf Montag;Basic;https://www.youtube.com/watch?v=_6Q09KJ0HBM;0
Shaggy;2000;It Wasn't Me;Basic;https://www.youtube.com/watch?v=ssVj50ombaM;19
Shakira;2010;Waka Waka (This Time For Africa);Basic;https://www.youtube.com/watch?v=czWcyZRAMtk;0
Shawn Mendes & Camila Cabello;2019;Señorita;Basic;https://www.youtube.com/watch?v=Pkh8UtuejGw;9
Sia;2015;Cheap Thrills;Basic;https://www.youtube.com/watch?v=J1b22l1kFKY;0
